diviziune,grupa,clasa,denumire,nivel
1,202,2020,"Fabricarea pesticidelor si a altor produse agrochimice 203 Fabricarea vopselelor, lacurilor, cernelii tipografice si masticurilor 2030 Fabricarea vopselelor, lacurilor, cernelii tipografice si masticurilor",3
1,204,,"Fabricarea sapunurilor, detergentilor si a produselor de intretinere, cosmetice si de parfumerie",2
1,204,2041,"Fabricarea sapunurilor, detergentilor si a produselor de intretinere 6 6",3
1,204,2042,Fabricarea parfumurilor si a produselor cosmetice (de toaleta),3
1,205,,Fabricarea altor produse chimice,2
1,205,2051,Fabricarea biocombustibililor lichizi,3
1,205,2059,Fabricarea altor produse chimice n.c.a.,3
1,206,,Fabricarea fibrelor sintetice si artificiale,2
1,206,2060,Fabricarea fibrelor sintetice si artificiale 21 Fabricarea produselor farmaceutice de baza si a preparatelor farmaceutice,3
1,211,,Fabricarea produselor farmaceutice de baza,2
1,211,2110,Fabricarea produselor farmaceutice de baza,3
1,212,,Fabricarea preparatelor farmaceutice,2
1,212,2120,Fabricarea preparatelor farmaceutice 22 Fabricarea produselor din cauciuc si mase plastice,3
1,221,,Fabricarea articolelor din cauciuc,2
1,221,2211,Fabricarea anvelopelor si a camerelor de aer; resaparea si refacerea anvelopelor,3
1,221,2212,Fabricarea altor produse din cauciuc,3
1,222,,Fabricarea articolelor din material plastic,2
1,222,2221,"Fabricarea placilor, foliilor, tuburilor si profilelor din material plastic",3
1,222,2222,Fabricarea articolelor de ambalaj din material plastic,3
1,222,2223,Fabricarea de usi si ferestre din material plastic,3
1,222,2224,Fabricarea articolelor din material plastic pentru constructii,3
1,222,2225,Prelucrarea si finisarea articolelor din material plastic,3
1,222,2226,Fabricarea altor produse din material plastic 23 Fabricarea altor produse din minerale nemetalice,3
1,231,,Fabricarea sticlei si a articolelor din sticla,2
1,231,2311,Fabricarea sticlei plate,3
1,231,2312,Prelucrarea si fasonarea sticlei plate,3
1,231,2313,Fabricarea articolelor din sticla,3
1,231,2314,Fabricarea fibrelor din sticla,3
1,231,2315,Fabricarea de sticlarie tehnica,3
1,232,,Fabricarea de produse refractare,2
1,232,2320,Fabricarea de produse refractare,3
1,233,,Fabricarea materialelelor de constructii din argila,2
1,233,2331,Fabricarea placilor si dalelor din ceramica,3
1,233,2332,"Fabricarea caramizilor, tiglelor si altor produse pentru constructii, din argila arsa",3
1,234,,Fabricarea altor articole din ceramica si portelan,2
1,234,2341,Fabricarea articolelor ceramice pentru uz gospodaresc si ornamental,3
1,234,2342,Fabricarea de obiecte sanitare din ceramica,3
1,234,2343,Fabricarea izolatorilor si pieselor izolante din ceramica,3
1,234,2344,Fabricarea altor produse tehnice din ceramica,3
1,234,2345,Fabricarea altor produse ceramice n.c.a. 7 7,3
1,235,,"Fabricarea cimentului, varului si ipsosului",2
1,235,2351,Fabricarea cimentului,3
1,235,2352,Fabricarea varului si ipsosului,3
1,236,,"Fabricarea articolelor din beton, ciment si ipsos",2
1,236,2361,Fabricarea produselor din beton pentru constructii,3
1,236,2362,Fabricarea produselor din ipsos pentru constructii,3
1,236,2363,Fabricarea betonului,3
1,236,2364,Fabricarea mortarului,3
1,236,2365,Fabricarea produselor din azbociment,3
1,236,2366,"Fabricarea altor articole din beton, ciment si ipsos",3
1,237,,"Taierea, fasonarea si finisarea pietrei",2
1,237,2370,"Taierea, fasonarea si finisarea pietrei",3
1,239,,Fabricarea produselor abrazive si a altor produse din minerale nemetalice n.c.a.,2
1,239,2391,Fabricarea de produse abrazive,3
1,239,2399,"Fabricarea altor produse din minerale nemetalice, n.c.a. 24 Industria metalurgica",3
1,241,,Productia de metale feroase sub forme primare si de feroaliaje,2
1,241,2410,Productia de metale feroase sub forme primare si de feroaliaje,3
1,242,,"Productia de tuburi, tevi, profile tubulare si accesorii pentru acestea, din otel",2
1,242,2420,"Productia de tuburi, tevi, profile tubulare si accesorii pentru acestea, din otel",3
1,243,,Fabricarea altor produse prin prelucrarea primara a otelului,2
1,243,2431,Tragere la rece a barelor,3
1,243,2432,Laminare la rece a benzilor inguste,3
1,243,2433,Productia de profile obtinute la rece,3
1,243,2434,Trefilarea firelor la rece,3
1,244,,Productia metalelor pretioase si a altor metale neferoase,2
1,244,2441,Productia metalelor pretioase,3
1,244,2442,Metalurgia aluminiului,3
1,244,2443,"Productia plumbului, zincului si cositorului",3
1,244,2444,Metalurgia cuprului,3
1,244,2445,Productia altor metale neferoase,3
1,244,2446,Prelucrarea combustibililor nucleari,3
1,245,,Turnarea metalelor,2
1,245,2451,Turnarea fontei,3
1,245,2452,Turnarea otelului,3
1,245,2453,Turnarea metalelor neferoase usoare,3
1,245,2454,"Turnarea altor metale neferoase 25 Industria constructiilor metalice si a produselor din metal, exclusiv masini, utilaje si instalatii",3
1,251,,Fabricarea de constructii metalice,2
1,251,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,3
1,251,2512,Fabricarea de usi si ferestre din metal 8 8,3
1,252,,"Productia de rezervoare, cisterne si containere metalice; productia de radiatoare si cazane pentru incalzire centrala",2
1,252,2521,Productia de radiatoare si cazane pentru incalzire central; productia de generatoare de abur si boilere,3
1,252,2522,"Productia de rezervoare, cisterne si containere metalice",3
1,253,,Fabricarea armamentului si munitiei,2
1,253,2530,Fabricarea armamentului si munitiei,3
1,254,,Fabricarea produselor metalice obtinute prin deformare plastica; metalurgia pulberilor,2
1,254,2540,Fabricarea produselor metalice obtinute prin deformare plastica; metalurgia pulberilor,3
1,255,,Tratarea si acoperirea metalelor; operatiuni de mecanica generala pe baza de plata sau contract,2
1,255,2551,Acoperirea metalelor,3
1,255,2552,Tratamente termice ale metalelor,3
1,255,2553,Operatiuni de mecanica generala,3
1,256,,Productia de unelte si articole de fierarie,2
1,256,2561,Fabricarea produselor de taiat,3
1,256,2562,Fabricarea articolelor de feronerie,3
1,256,2563,Fabricarea uneltelor,3
1,259,,Fabricarea altor produse prelucrate din metal,2
1,259,2591,"Fabricarea de recipienti, containere si alte produse similare din otel",3
1,259,2592,Fabricarea ambalajelor metalice usoare,3
1,259,2593,Fabricarea articolelor din fire metalice; fabricarea de lanturi si arcuri,3
1,259,2594,"Fabricarea de suruburi, buloane si alte articole filetate; fabricarea de nituri si saibe",3
1,259,2599,Fabricarea altor articole din metal n.c.a. 26 Fabricarea calculatoarelor si a produselor electronice si optice,3
1,261,,Fabricarea componentelor electronice,2
1,261,2611,Fabricarea componentelor electronice,3
1,261,2612,Fabricarea subansamblurilor electronice (module),3
1,262,,Fabricarea calculatoarelor si a echipamentelor periferice,2
1,262,2620,Fabricarea calculatoarelor si a echipamentelor periferice,3
1,263,,Fabricarea echipamentelor de comunicatii,2
1,263,2630,Fabricarea echipamentelor de comunicatii,3
1,264,,Fabricarea produselor electronice de larg consum,2
1,264,2640,Fabricarea produselor electronice de larg consum,3
1,265,,"Fabricarea de echipamente de masura, verificare, control si navigatie; productia de ceasuri",2
1,265,2651,"Fabricarea de instrumente si dispozitive pentru masura, verificare, control, navigatie",3
1,265,2652,"Productia de ceasuri 9 9 266 Fabricarea de echipamente pentru radiologie, electrodiagnostic si electroterapie 2660 Fabricarea de echipamente pentru radiologie, electrodiagnostic si electroterapie",3
1,267,,"Fabricarea de instrumente optice, suporti magnetici si optici; fabricarea de echipamente fotografice",2
1,267,2670,"Fabricarea de instrumente optice, suporti magnetici si optici; fabricarea de echipamente fotografice 27 Fabricarea echipamentelor electrice",3
1,271,,"Fabricarea motoarelor electrice, generatoarelor si transformatoarelor electrice si a aparatelor de distributie si control a electricitatii",2
1,271,2711,"Fabricarea motoarelor, generatoarelor si transformatoarelor electrice",3
1,271,2712,Fabricarea aparatelor de distributie si control a electricitatii,3
1,272,,Fabricarea de acumulatori si baterii,2
1,272,2720,Fabricarea de acumulatori si baterii,3
1,273,,Fabricarea de fire si cabluri; fabricarea dispozitivelor de conexiune pentru acestea,2
1,273,2731,Fabricarea de cabluri cu fibra optica,3
1,273,2732,Fabricarea altor fire si cabluri electrice si electronice,3
1,273,2733,Fabricarea dispozitivelor de conexiune pentru fire si cabluri electrice si electronice,3
1,274,,Fabricarea de echipamente electrice de iluminat,2
1,274,2740,Fabricarea de echipamente electrice de iluminat,3
1,275,,Fabricarea de echipamente casnice,2
1,275,2751,Fabricarea de aparate electrocasnice,3
1,275,2752,Fabricarea de echipamente casnice neelectrice,3
1,279,,Fabricarea altor echipamente electrice,2
1,279,2790,"Fabricarea altor echipamente electrice 28 Fabricarea de masini, utilaje si echipamente n.c.a.",3
1,281,,Fabricarea de masini si utilaje de utilizare generala,2
1,281,2811,"Fabricarea de motoare si turbine (cu exceptia celor pentru avioane, autovehicule si motociclete.)",3
1,281,2812,Fabricarea de motoare hidraulice,3
1,281,2813,Fabricarea de pompe si compresoare,3
1,281,2814,Fabricarea de articole de robinetarie,3
1,281,2815,"Fabricarea lagarelor, angrenajelor, cutiilor de viteza si a elementelor mecanice de transmisie 10 10",3
1,282,,Fabricarea altor masini si utilaje de utilizare generala,2
1,282,2821,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",3
1,282,2822,Fabricarea echipamentelor de ridicat si manipulat,3
1,282,2823,Fabricarea masinilor si echipamentelor de birou (exceptand fabricarea calculatoarelor si a echipamentelor periferice),3
1,282,2824,Fabricarea masinilor-unelte portabile actionate electric,3
1,282,2825,"Fabricarea echipamentelor de ventilatie si frigorifice, exceptand echipamentele de uz casnic",3
1,282,2829,Fabricarea altor masini si utilaje de utilizare generala n.c.a.,3
1,283,,Fabricarea masinilor si utilajelor pentru agricultura si exploatari forestiere,2
1,283,2830,Fabricarea masinilor si utilajelor pentru agricultura si exploatari forestiere,3
1,284,,Fabricarea utilajelor pentru prelucrarea metalului si a masinilor-unelte,2
1,284,2841,Fabricarea utilajelor si a masinilor-unelte pentru prelucrarea metalului,3
1,284,2842,Fabricarea altor masini-unelte n.c.a.,3
1,289,,Fabricarea altor masini si utilaje cu destinatie specifica,2
1,289,2891,Fabricarea utilajelor pentru metalurgie,3
1,289,2892,Fabricarea utilajelor pentru extractie si constructii,3
1,289,2893,"Fabricarea utilajelor pentru prelucrarea produselor alimentare, bauturilor si tutunului",3
1,289,2894,"Fabricarea utilajelor pentru industria textila, a imbracamintei si a pielariei",3
1,289,2895,Fabricarea utilajelor pentru industria hartiei si cartonului,3
